source_id,relation_type,target_id,direction,evidence,source_database,source_record_id,notes
reaction.ecocyc.RXN-9527,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.4.2.1.59-RXN,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9659,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9524,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9523,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.4.2.1.58-RXN,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9514,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9516,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9518,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9520,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9658,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9657,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.CYTDEAM-RXN,participates_in,ecocyc.PWY-7195,directed,database,EcoCyc,PWY-7195,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-361,participates_in,ecocyc.PWY-7195,directed,database,EcoCyc,PWY-7195,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-723,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-724,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RIBONUCLEOSIDE-DIP-REDUCTII-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-722,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.CDPREDUCT-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.UDPREDUCT-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DTDPKIN-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DTMPKI-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.THYMIDYLATESYN-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DUTP-PYROP-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DUDPKIN-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
