source_string_id,target_string_id,source_entity_ids,target_entity_ids,source_mapping_status,target_mapping_status,string_channel,channel_score,channel_score_norm,base_weight,edge_weight,combined_score,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining
511145.b3320,511145.b0911,protein.P60438,protein.P0AG67,unique,unique,experimental,906,0.906,0.85,0.7701,997,62,0,0,952,906,0,494
511145.b3320,511145.b3315,protein.P60438,protein.P61175,unique,unique,experimental,945,0.945,0.85,0.8032,999,709,0,718,998,945,740,905
511145.b3320,511145.b3318,protein.P60438,protein.P0ADZ0,unique,unique,experimental,947,0.947,0.85,0.8049,999,795,0,266,999,947,752,736
511145.b3320,511145.b3982,protein.P60438,protein.P0AFG0,unique,unique,experimental,800,0.800,0.85,0.6800,967,157,0,170,772,800,0,150
511145.b3320,511145.b3303,protein.P60438,protein.P0A7W1,unique,unique,experimental,947,0.947,0.85,0.8049,999,396,0,501,996,947,0,909
511145.b3320,511145.b3168,protein.P60438,protein.P0A705,unique,unique,experimental,749,0.749,0.85,0.6366,963,0,0,174,748,749,90,359
511145.b3320,511145.b3637,protein.P60438,protein.P0A7M2,unique,unique,experimental,945,0.945,0.85,0.8032,999,44,0,0,972,945,0,470
511145.b3320,511145.b3313,protein.P60438,protein.P0ADY7,unique,unique,experimental,945,0.945,0.85,0.8032,999,666,247,651,997,945,741,948
511145.b3320,511145.b0097,protein.P60438,protein.P62395,unique,unique,experimental,800,0.800,0.85,0.6800,800,0,0,0,0,800,0,0
511145.b3320,511145.b3314,protein.P60438,protein.P0A7V3,unique,unique,experimental,945,0.945,0.85,0.8032,999,678,447,430,997,945,0,920
511145.b3320,511145.b3294,protein.P60438,protein.P0AG44,unique,unique,experimental,972,0.972,0.85,0.8262,999,280,0,628,979,972,0,634
511145.b3320,511145.b3296,protein.P60438,protein.P0A7V8,unique,unique,experimental,945,0.945,0.85,0.8032,999,297,0,515,989,945,0,702
511145.b3320,511145.b3316,protein.P60438,protein.P0A7U3,unique,unique,experimental,945,0.945,0.85,0.8032,999,729,0,639,997,945,0,861
511145.b3320,511145.b0093,protein.P60438,protein.P06136,unique,unique,experimental,800,0.800,0.85,0.6800,827,0,0,0,0,800,0,172
511145.b3320,511145.b2185,protein.P60438,protein.P68919,unique,unique,experimental,945,0.945,0.85,0.8032,996,0,0,0,894,945,0,403
511145.b3320,511145.b3307,protein.P60438,protein.P0AG59,unique,unique,experimental,945,0.945,0.85,0.8032,999,441,0,173,996,945,0,755
511145.b3320,511145.b3987,protein.P60438,protein.P0A8V2,unique,unique,experimental,811,0.811,0.85,0.6894,997,158,0,0,954,811,0,719
511145.b3320,511145.b2620,protein.P60438,protein.P0A832,unique,unique,experimental,934,0.934,0.85,0.7939,986,0,0,244,74,934,0,736
511145.b3320,511145.b3342,protein.P60438,protein.P0A7S3,unique,unique,experimental,945,0.945,0.85,0.8032,999,158,0,481,979,945,0,496
511145.b3320,511145.b3703,protein.P60438,protein.P0A7P5,unique,unique,experimental,945,0.945,0.85,0.8032,980,0,0,0,632,945,0,91
511145.b3320,511145.b3984,protein.P60438,protein.P0A7L0,unique,unique,experimental,971,0.971,0.85,0.8253,999,158,0,200,990,971,293,859
511145.b3320,511145.b3165,protein.P60438,protein.P0ADZ4,unique,unique,experimental,945,0.945,0.85,0.8032,998,0,0,517,926,945,0,543
511145.b3320,511145.b0953,protein.P60438,protein.P0AFW2,unique,unique,experimental,800,0.800,0.85,0.6800,800,0,0,0,0,800,0,0
511145.b3320,511145.b0098,protein.P60438,protein.P10408,unique,unique,experimental,800,0.800,0.85,0.6800,815,44,0,0,46,800,0,107
