pathway_id	member_type	member_id
eco00910	compound	C06058
eco00920	compound	C00033
eco00920	compound	C00042
eco00920	compound	C00053
eco00920	compound	C00054
eco00920	compound	C00059
eco00920	compound	C00065
eco00920	compound	C00073
eco00920	compound	C00084
eco00920	compound	C00087
eco00920	compound	C00094
eco00920	compound	C00097
eco00920	compound	C00155
eco00920	compound	C00163
eco00920	compound	C00224
eco00920	compound	C00245
eco00920	compound	C00263
eco00920	compound	C00283
eco00920	compound	C00320
eco00920	compound	C00409
eco00920	compound	C00511
eco00920	compound	C00580
eco00920	compound	C00894
eco00920	compound	C00979
eco00920	compound	C01013
eco00920	compound	C01118
eco00920	compound	C01180
eco00920	compound	C01861
eco00920	compound	C02084
eco00920	compound	C03172
eco00920	compound	C03920
eco00920	compound	C04022
eco00920	compound	C08276
eco00920	compound	C11142
eco00920	compound	C11143
eco00920	compound	C11145
eco00920	compound	C15521
eco00920	compound	C17267
eco00920	compound	C19692
eco00920	compound	C20870
eco00920	compound	C20955
eco00920	compound	C22315
eco00920	compound	C22316
eco00920	compound	C22834
eco00920	compound	C23001
eco00920	compound	C23002
eco00061	compound	C00024
eco00061	compound	C00083
eco00061	compound	C00154
eco00061	compound	C00173
eco00061	compound	C00229
eco00061	compound	C00249
eco00061	compound	C00383
eco00061	compound	C00638
eco00061	compound	C00685
eco00061	compound	C00693
eco00061	compound	C00712
eco00061	compound	C01203
eco00061	compound	C01209
eco00061	compound	C01271
eco00061	compound	C01530
eco00061	compound	C01571
eco00061	compound	C02679
eco00061	compound	C02843
eco00061	compound	C03939
eco00061	compound	C04088
eco00061	compound	C04180
eco00061	compound	C04246
eco00061	compound	C04618
eco00061	compound	C04619
eco00061	compound	C04620
eco00061	compound	C04633
eco00061	compound	C04688
eco00061	compound	C05223
eco00061	compound	C05744
eco00061	compound	C05745
eco00061	compound	C05746
eco00061	compound	C05747
eco00061	compound	C05748
eco00061	compound	C05749
eco00061	compound	C05750
eco00061	compound	C05751
eco00061	compound	C05752
eco00061	compound	C05753
eco00061	compound	C05754
eco00061	compound	C05755
eco00061	compound	C05756
eco00061	compound	C05757
eco00061	compound	C05758
eco00061	compound	C05759
eco00061	compound	C05760
eco00061	compound	C05761
eco00061	compound	C05762
eco00061	compound	C05763
eco00061	compound	C05764
eco00061	compound	C06423
eco00061	compound	C06424
eco00061	compound	C08362
eco00061	compound	C16219
eco00061	compound	C16220
eco00061	compound	C16221
eco00061	compound	C16520
eco00061	compound	C20683
eco00061	compound	C20794
eco00071	compound	C00010
eco00071	compound	C00024
eco00071	compound	C00071
eco00071	compound	C00136
eco00071	compound	C00154
eco00071	compound	C00162
eco00071	compound	C00226
eco00071	compound	C00229
eco00071	compound	C00249
eco00071	compound	C00332
eco00071	compound	C00340
eco00071	compound	C00435
eco00071	compound	C00489
eco00071	compound	C00517
eco00071	compound	C00527
eco00071	compound	C00638
eco00071	compound	C00823
eco00071	compound	C00877
eco00071	compound	C01144
eco00071	compound	C01371
eco00071	compound	C01832
eco00071	compound	C01944
eco00071	compound	C02593
eco00071	compound	C02990
eco00071	compound	C03221
eco00071	compound	C03547
eco00071	compound	C03561
eco00071	compound	C05102
eco00071	compound	C05258
eco00071	compound	C05259
eco00071	compound	C05260
eco00071	compound	C05261
eco00071	compound	C05262
eco00071	compound	C05263
eco00071	compound	C05264
eco00071	compound	C05265
eco00071	compound	C05266
eco00071	compound	C05267
eco00071	compound	C05268
eco00071	compound	C05269
eco00071	compound	C05270
eco00071	compound	C05271
eco00071	compound	C05272
eco00071	compound	C05273
eco00071	compound	C05274
eco00071	compound	C05275
eco00071	compound	C05276
eco00071	compound	C05279
eco00071	compound	C05280
eco00071	compound	C20683
eco00074	compound	C00024
eco00074	compound	C00031
eco00074	compound	C00083
eco00074	compound	C00229
eco00074	compound	C01083
eco00074	compound	C01209
eco00074	compound	C02843
eco00074	compound	C03688
eco00074	compound	C20683
eco00074	compound	C20876
eco00074	compound	C22855
eco00074	compound	C22857
eco00074	compound	C22858
eco00074	compound	C22859
eco00074	compound	C22860
eco00074	compound	C22861
eco00074	compound	C22862
eco00074	compound	C22863
eco00074	compound	C22864
eco00074	compound	C22865
eco00074	compound	C22866
eco00074	compound	C22867
eco00074	compound	C22868
eco00074	compound	C22869
eco00074	compound	C22870
eco00074	compound	C22871
eco00074	compound	C22872
eco00074	compound	C22873
eco00074	compound	C22874
eco00074	compound	C22875
eco00074	compound	C22876
eco00074	compound	C22877
eco00074	compound	C22878
eco00074	compound	C22879
eco00121	compound	C00695
eco00121	compound	C01921
eco00121	compound	C02528
eco00121	compound	C03990
eco00121	compound	C04483
eco00121	compound	C05122
eco00121	compound	C05337
eco00121	compound	C05465
eco00121	compound	C05466
eco00121	compound	C07880
eco00121	compound	C15515
eco00121	compound	C15517
eco00121	compound	C17644
eco00121	compound	C17646
eco00121	compound	C17647
eco00121	compound	C17649
eco00121	compound	C17650
eco00121	compound	C17651
eco00121	compound	C17654
eco00121	compound	C17657
eco00121	compound	C17658
eco00121	compound	C17660
eco00121	compound	C17662
eco00121	compound	C17664
eco00121	compound	C17667
eco00121	compound	C17668
eco00121	compound	C17687
eco00121	compound	C17689
eco00121	compound	C17726
eco00121	compound	C17727
eco00121	compound	C17737
eco00121	compound	C20865
eco00121	compound	C20866
eco00121	compound	C20867
eco00121	compound	C20868
eco00121	compound	C21449
eco00561	compound	C00029
eco00561	compound	C00040
eco00561	compound	C00093
eco00561	compound	C00103
eco00561	compound	C00111
eco00561	compound	C00116
eco00561	compound	C00162
eco00561	compound	C00173
eco00561	compound	C00184
eco00561	compound	C00197
eco00561	compound	C00258
eco00561	compound	C00416
eco00561	compound	C00422
eco00561	compound	C00577
eco00561	compound	C00631
eco00561	compound	C00641
eco00561	compound	C00681
eco00561	compound	C00969
eco00561	compound	C01885
eco00561	compound	C02133
eco00561	compound	C02457
eco00561	compound	C03692
eco00561	compound	C04046
eco00561	compound	C04315
eco00561	compound	C04872
eco00561	compound	C05401
eco00561	compound	C06037
eco00561	compound	C06038
eco00561	compound	C06040
eco00561	compound	C06041
eco00561	compound	C06042
eco00561	compound	C06364
eco00561	compound	C06365
eco00561	compound	C11521
eco00561	compound	C13508
eco00561	compound	C20897
eco00561	compound	C20898
eco00561	compound	C20991
eco00564	compound	C00040
eco00564	compound	C00065
eco00564	compound	C00084
eco00564	compound	C00093
eco00564	compound	C00111
eco00564	compound	C00114
eco00564	compound	C00157
eco00564	compound	C00189
eco00564	compound	C00269
eco00564	compound	C00307
eco00564	compound	C00344
eco00564	compound	C00346
eco00564	compound	C00350
eco00564	compound	C00416
eco00564	compound	C00513
eco00564	compound	C00570
eco00564	compound	C00588
eco00564	compound	C00623
eco00564	compound	C00641
eco00564	compound	C00670
eco00564	compound	C00681
eco00564	compound	C01194
eco00564	compound	C01210
eco00564	compound	C01233
eco00564	compound	C01241
eco00564	compound	C01996
eco00564	compound	C02737
eco00564	compound	C03372
eco00564	compound	C03819
eco00564	compound	C03872
eco00564	compound	C03892
eco00564	compound	C03974
eco00564	compound	C04230
eco00564	compound	C04233
eco00564	compound	C04308
eco00564	compound	C04438
eco00564	compound	C04590
eco00564	compound	C04638
eco00564	compound	C05973
eco00564	compound	C05974
eco00564	compound	C05976
eco00564	compound	C05980
eco00564	compound	C06771
eco00564	compound	C06772
eco00564	compound	C13482
eco00564	compound	C18059
eco00564	compound	C18125
eco00564	compound	C18126
eco00564	compound	C18129
eco00564	compound	C18168
eco00564	compound	C18169
eco00564	compound	C20466
eco00564	compound	C20518
eco00564	compound	C22340
eco00564	compound	C22341
eco00564	compound	C22342
eco00565	compound	C00670
