ec_id	reaction_id
ec:2.6.1.42	R02199
ec:2.6.1.42	R10991
ec:2.6.1.42	R01090
ec:2.6.1.48	R02274
ec:2.6.1.52	R04173
ec:2.6.1.52	R05085
ec:2.6.1.57	R01731
ec:2.6.1.57	R07396
ec:2.6.1.57	R00694
ec:2.6.1.57	R00734
ec:2.6.1.57	R03120
ec:2.6.1.57	R10845
ec:2.6.1.59	R04438
ec:2.6.1.62	R03231
ec:2.6.1.66	R01215
ec:2.6.1.81	R04217
ec:2.6.1.82	R12214
ec:2.6.1.82	R01155
ec:2.6.1.85	R01716
ec:2.6.1.85	R00256
ec:2.6.1.85	R05552
ec:2.6.1.87	R07659
ec:2.6.1.88	R08618
ec:2.6.1.9	R00694
ec:2.6.1.9	R00734
ec:2.6.1.9	R03243
ec:2.6.99.2	R05838
ec:2.7.1.107	R02240
ec:2.7.1.11	R00756
ec:2.7.1.11	R00767
ec:2.7.1.11	R00769
ec:2.7.1.11	R00770
ec:2.7.1.11	R01843
ec:2.7.1.11	R03236
ec:2.7.1.11	R03237
ec:2.7.1.11	R03238
ec:2.7.1.11	R03239
ec:2.7.1.11	R04779
ec:2.7.1.12	R01737
ec:2.7.1.121	R01012
ec:2.7.1.130	R04657
ec:2.7.1.148	R05634
ec:2.7.1.15	R02750
ec:2.7.1.15	R01051
ec:2.7.1.156	R05221
ec:2.7.1.156	R06558
ec:2.7.1.16	R01526
ec:2.7.1.16	R02439
ec:2.7.1.165	R08572
ec:2.7.1.167	R05646
ec:2.7.1.17	R01639
ec:2.7.1.170	R09640
ec:2.7.1.170	R12755
ec:2.7.1.180	R10613
ec:2.7.1.184	R10970
ec:2.7.1.189	R11183
ec:2.7.1.19	R01523
ec:2.7.1.191	R02630
ec:2.7.1.192	R08559
ec:2.7.1.193	R05199
ec:2.7.1.194	R07671
ec:2.7.1.195	R11169
ec:2.7.1.196	R11170
ec:2.7.1.197	R02704
ec:2.7.1.198	R05820
ec:2.7.1.199	R02738
ec:2.7.1.2	R00299
ec:2.7.1.2	R01600
ec:2.7.1.2	R01786
ec:2.7.1.200	R05570
ec:2.7.1.201	R02780
ec:2.7.1.201	R06229
ec:2.7.1.202	R03232
ec:2.7.1.205	R11172
ec:2.7.1.208	R06236
ec:2.7.1.208	R04111
ec:2.7.1.21	R02099
ec:2.7.1.21	R08233
ec:2.7.1.21	R01567
ec:2.7.1.217	R11706
ec:2.7.1.217	R11707
